latitude,longitude
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.3,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.66
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.32,144.72
-38.3,144.66
-38.3,144.66
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.29,144.63
-38.29,144.63
-38.29,144.63
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.63
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.28,144.64
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.3,144.61
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.59
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.6
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.62
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.29,144.61
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
